object,event,subject,lat,lon,timestamp,source
"ENGAZ004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37343291,-157.73323357,"2026-08-03T22:00:01.988Z","UAV 3"
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:01.988Z","UAV 3"
"ENCAESAR002","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37578961,-157.73463468,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38069557,-157.73228105,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38090293,-157.73227901,"2026-08-03T22:00:01.988Z","UAV 3"
"FRMORT002","FFE-On-Location ""Location={-5499132.853573, -2251193.466895, 2310064.199617}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39124517,-157.73722922,"2026-08-03T22:00:01.988Z","UAV 3"
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38648613,-157.73470656,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38102588,-157.73228097,"2026-08-03T22:00:01.988Z","UAV 3"
"FRMORT001","FFE-On-Location ""Location={-5498976.908217, -2251427.979631, 2310206.739358}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39116652,-157.73700854,"2026-08-03T22:00:01.988Z","UAV 3"
"ENCAESAR004","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37604457,-157.73452974,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38103732,-157.73245933,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38106414,-157.73239435,"2026-08-03T22:00:01.988Z","UAV 3"
"FRMORT004","None","-",21.39105358,-157.73697074,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38072100,-157.73210052,"2026-08-03T22:00:01.988Z","UAV 3"
"ENCAESAR003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37588309,-157.73460455,"2026-08-03T22:00:01.988Z","UAV 3"
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38683202,-157.73466253,"2026-08-03T22:00:01.988Z","UAV 3"
"FRM109002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38672745,-157.73455482,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69008","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38103361,-157.73250321,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69009","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38072435,-157.73239819,"2026-08-03T22:00:01.988Z","UAV 3"
"FRMORT003","FFE-On-Location ""Location={-5499460.953457, -2250814.454542, 2309743.262342}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39122072,-157.73728393,"2026-08-03T22:00:01.988Z","UAV 3"
"FRM109001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38652358,-157.73426663,"2026-08-03T22:00:01.988Z","UAV 3"
"FRAHS002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38657419,-157.73466672,"2026-08-03T22:00:01.988Z","UAV 3"
"FRT69010","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38082158,-157.73214571,"2026-08-03T22:00:01.988Z","UAV 3"
